class,image,output
Cracked Walls,IMG20251010121619.jpg,a crack in the side of a building
Cracked Walls,IMG20251010122009.jpg,a white building with two windows and two windows
Cracked Walls,IMG_6583.JPG,a hole in the ceiling of a building
Cracked Walls,IMG_6584.JPG,a crack in the ceiling of a room
Cracked Walls,IMG_6585.JPG,a close up of a white plaster wall
Cracked Walls,IMG_6586.JPG,a concrete wall with cracks in it
Cracked Walls,IMG_6587.JPG,a close up of a wall with a sign on it
Cracked Walls,IMG_6588.JPG,a wall that has been painted with white paint
Cracked Walls,IMG_6589.JPG,the corner of a ceiling in a room
Cracked Walls,IMG_6591.JPG,a crack in the ceiling of a room
Cracked Walls,IMG_6599.JPG,a window with a hole in the side of it
Cracked Walls,IMG_6600.JPG,a concrete ceiling with holes in the ceiling
Cracked Walls,IMG_6602.JPG,the corner of a wall with a hole in it
Cracked Walls,IMG_6612.JPG,a crack in the side of a building
Cracked Walls,IMG_6640.JPG,a concrete wall with a hole in it
Cracked Walls,IMG_6641.JPG,the remains of a wall that has been destroyed by fire
Cracked Walls,IMG_6642.JPG,a manhole on the sidewalk in front of a tree
Cracked Walls,IMG_6644.JPG,a brick building with a white pipe attached to it
Cracked Walls,IMG_6645.JPG,a white building with two windows and a brick wall
Cracked Walls,IMG_6653.JPG,a brick wall with a hole in it
Cracked Walls,IMG_6658.JPG,palm trees in front of an apartment building
Cracked Walls,IMG_6659.JPG,a close up of a door with a metal handle
Cracked Walls,IMG_6660.JPG,a tall white building with palm trees in the background
Cracked Walls,IMG_6662.JPG,a sign on the side of a building
Cracked Walls,train_219.jpg,a crack in the wall of a room
Cracked Walls,train_449.jpg,a white wall with a crack in it
Cracked Walls,train_5.jpg,a white wall with a hole in it
Cracked Windows,IMG20251010122840.jpg,two windows with broken glass on a building
Cracked Windows,IMG20251010122850.jpg,two windows with broken glass in front of a building
Cracked Windows,IMG20251010123142.jpg,a broken window on the side of a building
Cracked Windows,IMG_6597.JPG,a view of the outside of a building through a window
Cracked Windows,IMG_6598.JPG,a window with a screen on the outside of it
Cracked Windows,IMG_6601.JPG,a metal screen with holes on it
Cracked Windows,IMG_6606.JPG,a black and white drawing on a white wall
Cracked Windows,IMG_6607.JPG,a black and white photo hanging on a wall
Cracked Windows,IMG_6663.JPG,a palm tree reflected in a round window
Exposed wires,IMG-20251011-WA0007.jpg,a black refrigerator sitting on top of a tiled floor
Exposed wires,IMG-20251011-WA0024.jpg,an electrical outlet with a red light on it
Exposed wires,IMG20251010121523.jpg,a brick building with two windows and a brick wall
Exposed wires,IMG20251010121525.jpg,a brick wall with two windows and a window
Exposed wires,IMG_6590.JPG,a carpet with lots of people on it
Exposed wires,IMG_6592.JPG,a white light switch on a wall
Exposed wires,IMG_6594.JPG,a coffee machine sitting on top of a counter
Exposed wires,IMG_6595.JPG,two water bottles sitting next to a wall
Exposed wires,IMG_6603.JPG,a hole in the ceiling of a room
Exposed wires,IMG_6604.JPG,a wall mounted camera mounted on the side of a wall
