class,image,output
Cracked Walls,IMG20251010121619.jpg,there is a fire hydrant on the side of a building next to a window
Cracked Walls,IMG20251010122009.jpg,there is a white building with two windows and a clock on it
Cracked Walls,IMG_6583.JPG,there is a crack in the wall of a building with a window
Cracked Walls,IMG_6584.JPG,this is a picture of a crack in the wall of a bathroom
Cracked Walls,IMG_6585.JPG,this is a close up of a corner of a bathroom with a toilet
Cracked Walls,IMG_6586.JPG,there is a skateboard that is sitting on a concrete surface
Cracked Walls,IMG_6587.JPG,this is a picture of a corner of a bathroom with a toilet and a sink
Cracked Walls,IMG_6588.JPG,this is a picture of a bathroom with a toilet and a sink
Cracked Walls,IMG_6589.JPG,this is a picture of a corner of a room with a white ceiling
Cracked Walls,IMG_6591.JPG,this is a picture of a crack in the wall of a house
Cracked Walls,IMG_6599.JPG,they are looking out of a window at the outside of a building
Cracked Walls,IMG_6600.JPG,this is a picture of a picture of a window in a building
Cracked Walls,IMG_6602.JPG,this is a close up of a corner of a window sill
Cracked Walls,IMG_6612.JPG,there is a crack in the side of a building that has been painted white
Cracked Walls,IMG_6640.JPG,there is a concrete block sitting on the side of the road
Cracked Walls,IMG_6641.JPG,this is an image of a brick wall that has been damaged
Cracked Walls,IMG_6642.JPG,there is a manhole on the side of the road next to a tree
Cracked Walls,IMG_6644.JPG,this is a picture of a brick building with pipes and windows
Cracked Walls,IMG_6645.JPG,there are two windows on the side of a white building
Cracked Walls,IMG_6653.JPG,there is a brick wall that has a hole in it
Cracked Walls,IMG_6658.JPG,looking up at a tall building with palm trees in front of it
Cracked Walls,IMG_6659.JPG,there is a cat that is sitting on the side of a building
Cracked Walls,IMG_6660.JPG,looking up at a tall white building with palm trees in the foreground
Cracked Walls,IMG_6662.JPG,there is a close up of a window with a sign on it
Cracked Walls,train_219.jpg,there is a crack in the wall of a bathroom that has been painted white
Cracked Walls,train_449.jpg,this is a picture of a crack in the wall of a bathroom
Cracked Walls,train_5.jpg,this is a picture of a corner of a bathroom with a hole in the wall
Cracked Windows,IMG20251010122840.jpg,there are two windows on the side of a building with broken glass
Cracked Windows,IMG20251010122850.jpg,there are two windows on the side of a building with broken glass
Cracked Windows,IMG20251010123142.jpg,this is a picture of a window with a crack in it
Cracked Windows,IMG_6597.JPG,this is a picture of a view of a building through a window
Cracked Windows,IMG_6598.JPG,this is a picture of a window with a view of the outside
Cracked Windows,IMG_6601.JPG,this is a close up view of a metal gate with holes in it
Cracked Windows,IMG_6606.JPG,there is a picture of a black and white drawing of a bowl
Cracked Windows,IMG_6607.JPG,this is a picture of a picture of a spider hanging on a wall
Cracked Windows,IMG_6663.JPG,reflection of a palm tree in a round window of a building
Exposed wires,IMG-20251011-WA0007.jpg,this is an image of an electrical outlet in a room
Exposed wires,IMG-20251011-WA0024.jpg,this is a picture of an electrical outlet in a bathroom
Exposed wires,IMG20251010121523.jpg,there are two windows on the side of a brick building
Exposed wires,IMG20251010121525.jpg,there are two windows on the side of a brick building
Exposed wires,IMG_6590.JPG,this is an aerial view of a group of people gathered together
Exposed wires,IMG_6592.JPG,there is a white light switch with a black cord attached to it
Exposed wires,IMG_6594.JPG,there is a water dispenser sitting on top of a black refrigerator
Exposed wires,IMG_6595.JPG,there are two water bottles that are connected to a wall outlet
Exposed wires,IMG_6603.JPG,this is a picture of a hole in the ceiling of a bathroom
Exposed wires,IMG_6604.JPG,this is a picture of an electrical outlet on a wall
Exposed wires,IMG_6605.JPG,this is a picture of an electrical outlet on a wall
Exposed wires,IMG_6609.JPG,this is a close up of a piece of metal with holes in it
Exposed wires,train_1.jpg,this is a picture of a bunch of wires and wires on a wall
Exposed wires,train_103.jpg,there is a cat that is looking out of a hole in the wall
Exposed wires,train_175.jpg,this is an image of a desk with a chair and a wall outlet
Exposed wires,train_180.jpg,there is a power strip that is plugged into a wall
Exposed wires,train_414.jpg,an image of a table with a bunch of electronics on it
Exposed wires,train_427.jpg,there is a white box with a black cord on the floor
Exposed wires,train_463.jpg,there is a pile of electrical cords and cords on the floor
Fall risks,IMG-20251011-WA0003.jpg,there is a view of a hallway with tiled floors and stairs
Fall risks,IMG-20251011-WA0017.jpg,there are many steps that lead up to the top of a building
Fall risks,IMG-20251011-WA0018.jpg,this is an image of a pot hole in the middle of the road
Fall risks,IMG-20251011-WA0021.jpg,there is a man riding a skateboard down a set of stairs
Fall risks,IMG-20251011-WA0025.jpg,this is a picture of a set of stairs leading to a building
Fall risks,IMG-20251011-WA0026.jpg,there is a picture of a picture of a car on the wall above the stairs
Fall risks,IMG_6608.JPG,there is a staircase going up to the side of a building
Fall risks,IMG_6620.JPG,there is a cat sitting on the steps of a stone building
Fall risks,IMG_6621.JPG,there is a fire hydrant sitting on the sidewalk next to a fence
Fall risks,IMG_6622.JPG,there is a red fire hydrant sitting on the side of a brick wall
Unclear Emergency signs and exits,IMG-20251011-WA0006.jpg,this is an image of a stop sign on the side of the road
Unclear Emergency signs and exits,IMG-20251011-WA0008.jpg,there is a sign with instructions on how to use the toilet
Unclear Emergency signs and exits,IMG-20251011-WA0010.jpg,this is a picture of a green exit sign hanging from the ceiling
Unclear Emergency signs and exits,IMG-20251011-WA0011.jpg,there is a sign that says rest rooms on the wall
Unclear Emergency signs and exits,IMG-20251011-WA0012.jpg,there is a sign that says rest rooms with a man and a woman
Unclear Emergency signs and exits,IMG-20251011-WA0014.jpg,there is a 40mph speed limit sign in front of a tree
Unclear Emergency signs and exits,IMG-20251011-WA0015.jpg,this is a picture of a green and white sign on a wall
Unclear Emergency signs and exits,IMG-20251011-WA0016.jpg,there is a stop sign that is on the corner of the street
Unclear Emergency signs and exits,IMG-20251011-WA0019.jpg,there is a sign on the wall stating that there are no drinks allowed
Unclear Emergency signs and exits,IMG-20251011-WA0023.jpg,there is a sign that says emergency assembly with language school on it
Unclear Emergency signs and exits,IMG20251010123458.jpg,there is a sign that says road to success in front of a door
Unclear Emergency signs and exits,IMG20251010123507.jpg,there is a banner on the floor in front of a door
Unclear Emergency signs and exits,IMG_20251010_115622.jpg,there is a street sign that is on the side of the road
Unclear Emergency signs and exits,IMG_20251010_115654.jpg,this is a picture of a street sign in front of a palm tree
Unclear Emergency signs and exits,IMG_6593.JPG,there is a fire extinguisor on a table next to a sign
Unclear Emergency signs and exits,IMG_6596.JPG,there is a sign that says no food or drinks allowed in this lab
Unclear Emergency signs and exits,IMG_6615.JPG,this is a picture of a street sign on the side of the road
Unclear Emergency signs and exits,IMG_6616.JPG,there is a sign that says additional parking in front of a building
Unclear Emergency signs and exits,IMG_6619.JPG,there is a green street sign on a pole in front of trees
Unclear Emergency signs and exits,IMG_6623.JPG,there is a sign on the fence that warns people not to enter the park
Unclear Emergency signs and exits,IMG_6624.JPG,there is a tree that has a sign on it in the middle of the street
Unclear Emergency signs and exits,IMG_6627.JPG,there is a newspaper with a picture of a dog on it
Unclear Emergency signs and exits,IMG_6639.JPG,there are two green street signs hanging from the side of a bridge
Unclear Emergency signs and exits,IMG_6647.JPG,this is an image of a street sign in front of a building
Unclear Emergency signs and exits,IMG_6652.JPG,there is a no smoking sign on the side of a building
Unclear Emergency signs and exits,IMG_6654.JPG,there is a green street sign on a pole in front of a building
Unclear Emergency signs and exits,IMG_6655.JPG,there is a sign on the side of a building that says no parking
Unclear Emergency signs and exits,IMG_6656.JPG,there is a blue street sign on a pole in front of a building
Unclear Emergency signs and exits,IMG_6657.JPG,there is a blue sign that is on the side of a building
Uneven Pavements,IMG-20251011-WA0004.jpg,there is a pot hole in the middle of the road
Uneven Pavements,IMG-20251011-WA0005.jpg,there is a pot hole in the middle of the road
Uneven Pavements,IMG-20251011-WA0009.jpg,there is a black piece of metal on the ground next to a sidewalk
Uneven Pavements,IMG-20251011-WA0013.jpg,there is a person standing on the sidewalk next to a yellow line
Uneven Pavements,IMG-20251011-WA0020.jpg,there is a pot hole in the middle of a parking lot
Uneven Pavements,IMG-20251011-WA0022.jpg,there is a shadow of a person on the ground near a manhole
Uneven Pavements,IMG20251010115431.jpg,there is a red fire hydrant sitting on the side of the road
Uneven Pavements,IMG20251010115442.jpg,there is a crack in the pavement of a parking lot
Uneven Pavements,IMG20251010115448.jpg,there is a red fire hydrant sitting on the side of the road
Uneven Pavements,IMG20251010115850.jpg,there are two bricks laying on the ground next to a fence
Uneven Pavements,IMG20251010120710.jpg,this is a picture of a manhole on the side of a road
Uneven Pavements,IMG20251010122146.jpg,there are a lot of tools that are laying on the ground
Uneven Pavements,IMG_6610.JPG,this is a close up of a person ' s hand holding a skateboard
Uneven Pavements,IMG_6611.JPG,there is a manhole in the middle of a cobblestone street
Uneven Pavements,IMG_6613.JPG,there is a fire hydrant that is on the side of the road
Uneven Pavements,IMG_6614.JPG,there is a shadow of a man riding a skateboard down a street
Uneven Pavements,IMG_6617.JPG,there is a fire hydrant that is on the side of the road
Uneven Pavements,IMG_6618.JPG,there is a truck that is parked on the side of the road
Uneven Pavements,IMG_6625.JPG,there is a grate on the ground in the middle of the street
Uneven Pavements,IMG_6626.JPG,there is a red fire hydrant sitting on the side of the road
Uneven Pavements,IMG_6628.JPG,there is a white car parked on the side of the road
Uneven Pavements,IMG_6629.JPG,there is a white cross painted on the ground next to a tree
Uneven Pavements,IMG_6630.JPG,there is a motorcycle that is parked on the side of the road
Uneven Pavements,IMG_6631.JPG,there is a dog ' s paw print in the concrete of a sidewalk
Uneven Pavements,IMG_6632.JPG,some cars are parked on the side of the road next to a curb
Uneven Pavements,IMG_6633.JPG,this is a picture of a hole in the ground with leaves on it
Uneven Pavements,IMG_6634.JPG,there is a shadow of a person standing on a sidewalk
Uneven Pavements,IMG_6635.JPG,there is a pot hole in the middle of a parking lot
Uneven Pavements,IMG_6636.JPG,there is a pile of rubble in the middle of a parking lot
Uneven Pavements,IMG_6637.JPG,there is a pile of rubble in the middle of a parking lot
Uneven Pavements,IMG_6638.JPG,there is a dead bird on the ground next to a trash can
Uneven Pavements,IMG_6643.JPG,this is an image of a manhole in the ground next to a sidewalk
Uneven Pavements,IMG_6646.JPG,graffiti on the side of a building on the side of a street
Uneven Pavements,IMG_6648.JPG,there is a red fire hydrant sitting on the side of a road
Uneven Pavements,IMG_6649.JPG,there is a red traffic cone sitting on the side of a road
Uneven Pavements,IMG_6650.JPG,there is a person standing on a sidewalk next to a drain
Uneven Pavements,IMG_6651.JPG,this is an image of a pot hole in the road
