class,image,output
Cracked Walls,IMG20251010121619.jpg,a broken window
Cracked Walls,IMG20251010122009.jpg,a building with a broken window
Cracked Walls,IMG_6583.JPG,a broken window
Cracked Walls,IMG_6584.JPG,cracks in the ceiling
Cracked Walls,IMG_6585.JPG,i am removing the old paint from the wall
Cracked Walls,IMG_6586.JPG,a crack in the concrete
Cracked Walls,IMG_6587.JPG,a stairway with a broken railing
Cracked Walls,IMG_6588.JPG,i am removing the plaster from the wall
Cracked Walls,IMG_6589.JPG,i am a professional drywall repair contractor
Cracked Walls,IMG_6591.JPG,a crack in the ceiling
Cracked Walls,IMG_6599.JPG,a window with a broken screen
Cracked Walls,IMG_6600.JPG,a person is standing in a window
Cracked Walls,IMG_6602.JPG,a broken window
Cracked Walls,IMG_6612.JPG,a house with ants on the wall
Cracked Walls,IMG_6640.JPG,a broken concrete wall
Cracked Walls,IMG_6641.JPG,a brick wall with a broken brick
Cracked Walls,IMG_6642.JPG,a manhole cover is on the sidewalk
Cracked Walls,IMG_6644.JPG,a building with a large number of pipes
Cracked Walls,IMG_6645.JPG,a window is broken and the window is open
Cracked Walls,IMG_6653.JPG,a brick wall with a hole in it
Cracked Walls,IMG_6658.JPG,a tall building with a tall tower
Cracked Walls,IMG_6659.JPG,a broken door
Cracked Walls,IMG_6660.JPG,a tall tower with a large white structure
Cracked Walls,IMG_6662.JPG,a broken window
Cracked Walls,train_219.jpg,a broken wall
Cracked Walls,train_449.jpg,a crack in the wall
Cracked Walls,train_5.jpg,a leaking roof
Cracked Windows,IMG20251010122840.jpg,windows broken in a building
Cracked Windows,IMG20251010122850.jpg,windows are broken and the building is in a dangerous area
Cracked Windows,IMG20251010123142.jpg,a broken window
Cracked Windows,IMG_6597.JPG,a window with a screen that is not properly secured
Cracked Windows,IMG_6598.JPG,a person is standing in front of a window
Cracked Windows,IMG_6601.JPG,a car is parked in a parking lot
Cracked Windows,IMG_6606.JPG,a framed drawing hanging on a wall
Cracked Windows,IMG_6607.JPG,a framed drawing hanging on the wall
Cracked Windows,IMG_6663.JPG,a broken window
Exposed wires,IMG-20251011-WA0007.jpg,a power outlet is near a wall
Exposed wires,IMG-20251011-WA0024.jpg,a power outlet with a plug
Exposed wires,IMG20251010121523.jpg,a window is open and a fan is on
Exposed wires,IMG20251010121525.jpg,a window is open and a window is open
Exposed wires,IMG_6590.JPG,"ie if you are working with a live wire, you may be electrocuted"
Exposed wires,IMG_6592.JPG,a dvr plugged into a wall socket
Exposed wires,IMG_6594.JPG,a water dispenser is sitting on top of a table
Exposed wires,IMG_6595.JPG,a water bottle is plugged into a power outlet
