Model,filename,OHS_issues
OFA,IMG20251010122146.jpg, this is a picture of the sidewalk in front of my house.
OFA,IMG_6613.JPG, crack in the asphalt
OFA,IMG-20251011-WA0022.jpg, a manhole cover in the middle of a cobblestone street.
OFA,IMG-20251011-WA0010.jpg, the exit sign at the airport.
OFA,IMG_6591.JPG, a crack in the ceiling
OFA,IMG_6655.JPG, a view of the street from the window of the bus.
OFA,train_1.jpg, wires on the wall
OFA,IMG_6639.JPG, a sign on the side of the building
OFA,IMG_6628.JPG, a car parked on the side of the road
OFA,IMG_6595.JPG, this is a picture of the cable that is connected to the power supply
OFA,IMG_6597.JPG," the view from the window, looking out to the street."
OFA,IMG_6606.JPG, a black and white photograph of a woman's face in a black frame
OFA,IMG-20251011-WA0005.jpg, a large rock in the middle of the road
OFA,IMG_6600.JPG, a view from the inside of the building.
OFA,IMG-20251011-WA0025.jpg, the stools in front of the building
OFA,IMG-20251011-WA0020.jpg, potholes in the parking lot
OFA,IMG20251010121619.jpg, this is a close up of the wall of the building.
OFA,IMG_6659.JPG, this is the door that leads to the bathroom.
OFA,IMG-20251011-WA0018.jpg, a pothole in the road
OFA,IMG_6614.JPG, the shadow of the photographer
OFA,IMG_6652.JPG," a sign on a building in kuala lumpur, malaysia"
OFA,train_427.jpg, a pair of glasses on the floor
OFA,IMG-20251011-WA0019.jpg, the sign at the entrance to the bathroom.
OFA,IMG20251010115431.jpg, on the roof of a building
OFA,IMG_6585.JPG, a close up of the texture of the plaster on the walls of the
OFA,IMG_6647.JPG, a tree that fell on a building
OFA,train_103.jpg, this is the insulation i added above the bedroom in a small cape house
OFA,IMG_6623.JPG, the sign at the entrance to the park.
OFA,IMG_6587.JPG, close up of a wall with a crack in it
OFA,IMG-20251011-WA0015.jpg, the logo of the german car manufacturer porsche is seen at the
OFA,IMG20251010115448.jpg, the roof of the temple
OFA,IMG_6640.JPG, the stairs leading up to the top of the hill.
OFA,IMG_6660.JPG, the sky is the limit
OFA,IMG20251010122009.jpg, crack in the side of the building
OFA,IMG-20251011-WA0007.jpg, the floor is tiled with white tiles.
OFA,IMG_6594.JPG, the base of the coffee machine is the same size as the base.
OFA,IMG_6590.JPG, close up of the zipper on the right side of the jacket
OFA,IMG20251010122850.jpg," broken windows in a building in the city of lisbon, port"
OFA,IMG_6636.JPG, a pile of rocks on the sidewalk
OFA,IMG-20251011-WA0023.jpg, the sign in the parking lot
OFA,IMG_6589.JPG, detail of the ceiling in the living room.
OFA,IMG_6588.JPG, close up of a brick wall
OFA,IMG20251010123458.jpg, the sign at the entrance to the building.
OFA,IMG_6632.JPG, cars parked on the side of the road.
OFA,IMG_6616.JPG, a sign on the side of the road
OFA,IMG_6608.JPG, a ladder on the side of a building
OFA,IMG-20251011-WA0017.jpg, the stairs leading up to the temple
OFA,IMG_20251010_115654.jpg, a palm tree in front of a building
OFA,IMG-20251011-WA0014.jpg, a speed limit sign on the side of the road.
OFA,IMG_6615.JPG, a sign on the side of the road.
OFA,IMG-20251011-WA0009.jpg, the shadow of a tree on the sidewalk
OFA,train_449.jpg, a crack in the wall
OFA,IMG_6602.JPG, this is a close up of the corner of the stairs.
OFA,IMG_20251010_115622.jpg," palm trees on the streets of tel aviv, israel"
OFA,IMG-20251011-WA0003.jpg, the stairs leading up to the second floor.
